# ORB_SLAM2 KeyFrame trajectory
# file: ''
# timestamp tx ty tz qx qy qz qw
1305031453.359684 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.459685 0.011814 0.011794 -0.027867 0.004624 0.016053 0.030182 0.999405
1305031453.491698 0.015728 0.015314 -0.039414 0.008242 0.022157 0.040748 0.998890
1305031453.627706 0.003085 0.040401 -0.098518 0.037127 0.037522 0.063451 0.996588
1305031453.759694 -0.044307 0.076412 -0.153894 0.062745 0.022847 0.045415 0.996734
1305031453.859705 -0.079986 0.101645 -0.195846 0.072035 -0.003509 0.022613 0.997140
1305031453.927723 -0.107219 0.117017 -0.205516 0.070312 -0.036397 0.010107 0.996810
1305031454.027662 -0.143401 0.122030 -0.225710 0.066898 -0.074677 -0.020146 0.994757
1305031454.127701 -0.187517 0.130396 -0.234360 0.071188 -0.108098 -0.060323 0.989752
1305031454.259627 -0.220924 0.134848 -0.243932 0.074671 -0.171704 -0.120753 0.974864
1305031454.491617 -0.291250 0.167175 -0.251223 0.089515 -0.227389 -0.224100 0.943430
1305031454.627580 -0.308727 0.199123 -0.257838 0.084625 -0.261115 -0.282173 0.919258
1305031454.791641 -0.287948 0.224507 -0.250513 0.054980 -0.315079 -0.288148 0.902592
1305031455.327766 -0.353073 0.378861 -0.309216 0.018635 -0.248898 -0.199821 0.947509
1305031455.659615 -0.505768 0.403307 -0.399728 -0.030191 -0.204839 -0.099713 0.973235
1305031456.027770 -0.661698 0.388133 -0.524945 -0.021260 -0.152116 -0.117861 0.981080
1305031456.291675 -0.756080 0.315727 -0.551777 -0.040166 -0.087545 -0.120274 0.988057
1305031456.591651 -0.891830 0.344321 -0.499309 -0.027013 -0.018195 -0.067354 0.997197
1305031456.791649 -0.997352 0.338907 -0.438910 -0.060637 0.002263 -0.021880 0.997917
1305031456.959667 -1.039410 0.377590 -0.387240 -0.058396 0.011484 0.009695 0.998180
1305031457.127632 -1.098415 0.367569 -0.364226 -0.088265 0.040048 0.029438 0.994856
1305031457.391684 -1.216225 0.343276 -0.406330 -0.073288 0.116214 0.077599 0.987472
1305031457.627526 -1.329559 0.305918 -0.456861 -0.057215 0.149161 0.105661 0.981485
1305031457.791567 -1.398796 0.250348 -0.478099 -0.055931 0.162506 0.108506 0.979127
1305031457.991644 -1.496468 0.198337 -0.480302 -0.013987 0.200481 0.115779 0.972732
1305031458.191646 -1.586964 0.180753 -0.426009 0.008299 0.225662 0.127292 0.965818
1305031458.391626 -1.667125 0.118542 -0.324745 0.023113 0.213282 0.130880 0.967909
1305031458.627659 -1.708390 0.164855 -0.181266 0.113087 0.259592 0.125012 0.950892
1305031458.891665 -1.686973 0.169025 -0.063767 0.100732 0.179831 0.076697 0.975516
1305031459.059631 -1.766315 0.118579 -0.002601 0.108062 0.201895 0.104740 0.967776
1305031459.127618 -1.805289 0.099296 0.034762 0.132602 0.168551 0.116769 0.969728
1305031459.327632 -1.834142 0.108412 0.074972 0.149866 0.129087 0.172757 0.964900
1305031459.391667 -1.849395 0.129277 0.107313 0.156480 0.177328 0.222650 0.945778
1305031459.427646 -1.850440 0.140660 0.121222 0.147097 0.207300 0.254226 0.933144
1305031459.527594 -1.904180 0.150724 0.136448 0.134722 0.282728 0.355342 0.880708
1305031459.559647 -1.950168 0.093033 0.168217 0.111768 0.330364 0.384293 0.854802
1305031459.659641 -1.982673 0.097301 0.192797 0.113194 0.340794 0.411223 0.837820
1305031459.859660 -2.089471 0.012207 0.227545 0.095297 0.376068 0.410753 0.825090
1305031460.027565 -2.108954 -0.048492 0.266645 0.088803 0.360373 0.429295 0.823378
1305031460.191559 -2.122314 -0.111272 0.307044 0.110585 0.331459 0.460787 0.815832
1305031460.391611 -2.105412 -0.166225 0.337561 0.108829 0.369972 0.470694 0.793551
1305031460.627625 -2.088015 -0.234382 0.380497 0.077875 0.439365 0.502409 0.740593
1305031460.859714 -2.076520 -0.310475 0.438586 0.045886 0.469207 0.499180 0.727020
1305031461.091728 -2.025150 -0.387383 0.490934 0.026844 0.480441 0.502390 0.718373
1305031461.259642 -1.983917 -0.421873 0.520415 0.026963 0.486514 0.488693 0.723710
1305031461.559677 -1.921213 -0.429495 0.533870 0.009613 0.492717 0.475900 0.728462
1305031461.791612 -1.915918 -0.376836 0.510939 0.002244 0.511766 0.485456 0.708818
1305031461.959703 -1.935381 -0.300091 0.477143 0.001203 0.511453 0.517906 0.685702
1305031462.159646 -1.971092 -0.247382 0.490850 -0.011280 0.500891 0.571451 0.649942
1305031462.359732 -2.015954 -0.211370 0.505729 -0.048347 0.492693 0.563242 0.661570
1305031462.559862 -2.072285 -0.173457 0.523125 -0.090811 0.451075 0.542854 0.702562
1305031462.859782 -2.159615 -0.102446 0.455855 -0.100676 0.408231 0.471043 0.775455
1305031463.127550 -2.183919 -0.021711 0.332687 -0.079323 0.377460 0.427045 0.817841
1305031463.459756 -2.165174 0.076168 0.199063 -0.056156 0.352696 0.377265 0.854473
1305031463.695640 -2.106528 0.133387 0.085366 -0.039326 0.349391 0.367924 0.860820
1305031463.927664 -2.030262 0.125301 -0.062542 -0.038873 0.352026 0.316288 0.880073
1305031464.195585 -1.975221 0.067252 -0.213759 -0.022173 0.330512 0.267499 0.904828
1305031464.559703 -1.878503 0.074946 -0.411649 0.016413 0.245882 0.192187 0.949914
1305031464.659749 -1.828697 0.045829 -0.491241 0.026165 0.266129 0.162023 0.949863
1305031464.695663 -1.817914 0.023267 -0.505524 0.031561 0.277122 0.144878 0.949325
1305031464.859654 -1.823126 0.030910 -0.520238 0.080533 0.259561 0.050088 0.961059
1305031465.095700 -1.687080 0.071245 -0.485156 0.083418 0.193150 -0.085318 0.973887
1305031465.495703 -1.422479 0.198355 -0.418464 0.017849 0.028131 -0.032412 0.998919
1305031465.827996 -1.181684 0.353895 -0.466347 0.080214 -0.047275 0.039740 0.994863
1305031466.160428 -0.998720 0.583144 -0.512440 0.116378 -0.041963 0.050452 0.991035
1305031466.495809 -0.836056 0.684142 -0.628954 0.092296 -0.054482 -0.001633 0.994239
1305031466.795604 -0.652427 0.739790 -0.669521 0.082948 -0.055044 -0.046305 0.993955
1305031467.227704 -0.432126 0.776919 -0.702863 0.090620 -0.139791 -0.099810 0.980961
1305031467.627532 -0.250301 0.786526 -0.734015 0.079347 -0.204047 -0.144231 0.965021
1305031467.959826 -0.154601 0.698648 -0.645275 0.126184 -0.253633 -0.155061 0.946416
1305031468.259754 -0.089291 0.558827 -0.508546 0.125242 -0.275979 -0.172020 0.937315
1305031468.495809 -0.055443 0.415562 -0.455226 0.108596 -0.270233 -0.166542 0.942043
1305031468.759628 -0.092227 0.264343 -0.451824 0.111832 -0.284879 -0.196000 0.931623
1305031469.059832 -0.129749 0.178311 -0.422065 0.066483 -0.264382 -0.226024 0.935198
